freq	dB(S(2,1))
5.75100000000000033E9	-7.80728438823445181E1
5.76100000000000012E9	-7.81694328904884195E1
5.77099999999999991E9	-7.82657694109655466E1
5.78100000000000058E9	-7.83618548545154248E1
5.79100000000000037E9	-7.84576906198559065E1
5.80100000000000016E9	-7.85532780938196318E1
5.81099999999999994E9	-7.86486186514886576E1
5.82099999999999973E9	-7.87437136563270457E1
5.83100000000000041E9	-7.88385644603116909E1
5.84100000000000019E9	-7.89331724040612492E1
5.85100000000000087E9	-7.90275388169633874E1
5.86099999999999977E9	-7.91216650173000424E1
5.87100000000000044E9	-7.92155523123711980E1
5.88100000000000023E9	-7.93092019986167696E1
5.89100000000000001E9	-7.94026153617368102E1
5.90100000000000069E9	-7.94957936768101359E1
5.91099999999999959E9	-7.95887382084113604E1
5.92100000000000026E9	-7.96814502107261013E1
5.93100000000000005E9	-7.97739309276649244E1
5.94100000000000072E9	-7.98661815929754759E1
5.95100000000000051E9	-7.99582034303532474E1
5.96100000000000030E9	-8.00499976535507152E1
5.97100000000000009E9	-8.01415654664851473E1
5.98099999999999987E9	-8.02329080633448122E1
5.99100000000000055E9	-8.03240266286939075E1
