time	Vo_no_amp
4.03220000000001999E-9	-2.17105849454430100E-8
4.04220000000002067E-9	-1.98875759153419707E-8
4.05220000000002045E-9	-1.77734359446301338E-8
4.06220000000001935E-9	-1.54081125394992391E-8
4.07220000000001914E-9	-1.28355178441007078E-8
4.08220000000001892E-9	-1.01026212436380569E-8
4.09220000000001782E-9	-7.25849217415768777E-9
4.10220000000001761E-9	-4.35331445204363554E-9
4.11220000000001829E-9	-1.43739322560076754E-9
4.12220000000001896E-9	1.43982497000770371E-9
4.13220000000001786E-9	4.23069899354763201E-9
4.14220000000001676E-9	6.89028687915740967E-9
4.15220000000001654E-9	9.37716747603424672E-9
4.16220000000001811E-9	1.16541725661149220E-8
4.17220000000001612E-9	1.36890148205406481E-8
4.18220000000001679E-9	1.54548000412216724E-8
4.19220000000001747E-9	1.69304150780482687E-8
4.20220000000001637E-9	1.81007856264598233E-8
4.21220000000001615E-9	1.89570009700383579E-8
4.22220000000001505E-9	1.94963055879827030E-8
4.23220000000001573E-9	1.97219602482496570E-8
4.24220000000001551E-9	1.96429778609611394E-8
4.25220000000001441E-9	1.92737422688217475E-8
4.26220000000001509E-9	1.86335212805388162E-8
4.27220000000001399E-9	1.77458880493982840E-8
4.28220000000001466E-9	1.66380667520185965E-8
4.29220000000001356E-9	1.53402194069384490E-8
4.30220000000001246E-9	1.38846911302453124E-8
4.31220000000001313E-9	1.23052316381715365E-8
4.32220000000001381E-9	1.06362113272002601E-8
4.33220000000001271E-9	8.91185039154876790E-9
4.34220000000001249E-9	7.16547893127620483E-9
4.35220000000001228E-9	5.42884493907187071E-9
4.36220000000001118E-9	3.73148554403068200E-9
4.37220000000001185E-9	2.10017488378461081E-9
4.38220000000001075E-9	5.58459465392056842E-10
4.39220000000001232E-9	-8.73710831667724364E-10
4.40220000000001033E-9	-2.18025041043301293E-9
4.41220000000001100E-9	-3.34910066825062991E-9
4.42220000000001079E-9	-4.37228630966445575E-9
4.43220000000000969E-9	-5.24586642823216298E-9
4.44220000000001036E-9	-5.96978455297728061E-9
4.45220000000001015E-9	-6.54762476570029683E-9
4.46220000000000994E-9	-6.98628334929067840E-9
4.47220000000000883E-9	-7.29556720256803715E-9
4.48220000000000862E-9	-7.48773166338362728E-9
4.49220000000000930E-9	-7.57697150430009359E-9
4.50220000000000820E-9	-7.57887963287548505E-9
4.51220000000000798E-9	-7.50988845842107722E-9
4.52220000000000955E-9	-7.38670914635206799E-9
4.53220000000000756E-9	-7.22578411605492477E-9
4.54220000000000645E-9	-7.04276787009639893E-9
4.55220000000000713E-9	-6.85205020369796536E-9
4.56220000000000780E-9	-6.66633403047532713E-9
4.57220000000000670E-9	-6.49627792710014251E-9
4.58220000000000560E-9	-6.35021151833379793E-9
4.59220000000000628E-9	-6.23393004451489841E-9
4.60220000000000695E-9	-6.15057258091776671E-9
4.61220000000000496E-9	-6.10058620029385246E-9
4.62220000000000475E-9	-6.08177597266260417E-9
4.63220000000000542E-9	-6.08943827834109896E-9
4.64220000000000610E-9	-6.11657254769359504E-9
4.65220000000000589E-9	-6.15416425221598917E-9
4.66220000000000478E-9	-6.19152992425972126E-9
4.67220000000000457E-9	-6.21671345303782896E-9
4.68220000000000436E-9	-6.21692197122451962E-9
4.69220000000000326E-9	-6.17898904042122776E-9
4.70220000000000393E-9	-6.08985221763208529E-9
4.71220000000000461E-9	-5.93703142090011582E-9
4.72220000000000351E-9	-5.70909416833991568E-9
4.73220000000000329E-9	-5.39609408654948375E-9
4.74220000000000219E-9	-4.98997006051340186E-9
4.75220000000000198E-9	-4.48489475294385098E-9
4.76220000000000265E-9	-3.87756275205931278E-9
4.77220000000000155E-9	-3.16741029820999920E-9
4.78220000000000223E-9	-2.35676039239944490E-9
4.79220000000000201E-9	-1.45088899028025109E-9
4.80220000000000180E-9	-4.58009842965042768E-10
4.81220000000000070E-9	6.10822527656115710E-10
4.82219999999999960E-9	1.74189003253235297E-9
4.83220000000000116E-9	2.91906425818702964E-9
4.84220000000000095E-9	4.12412924563987282E-9
4.85220000000000073E-9	5.33716541798496014E-9
4.86220000000000052E-9	6.53698493927310587E-9
4.87219999999999942E-9	7.70160776550810056E-9
4.88220000000000010E-9	8.80876669586880645E-9
4.89219999999999899E-9	9.83642887099581742E-9
4.90219999999999878E-9	1.07633205774666241E-8
4.91219999999999768E-9	1.15694420016600441E-8
4.92219999999999835E-9	1.22365587096689632E-8
4.93219999999999814E-9	1.27486571300542950E-8
4.94219999999999970E-9	1.30923522899939027E-8
4.95219999999999683E-9	1.32572375174995760E-8
4.96219999999999928E-9	1.32361675475479834E-8
4.97219999999999729E-9	1.30254681492494484E-8
4.98219999999999530E-9	1.26250669429273277E-8
4.99219999999999775E-9	1.20385417176633958E-8
5.00000000000000000E-9	1.14560493327980106E-8
5.00099999999999945E-9	1.13728107520250932E-8
5.00399999999999956E-9	1.11155064759132971E-8
5.01300000000000079E-9	1.02559314682252944E-8
5.02300000000000058E-9	9.15620732521053604E-9
5.03299999999999947E-9	7.92073928151071360E-9
5.04299999999999926E-9	6.56939880631447970E-9
5.05300000000000082E-9	5.12428915482035485E-9
5.06299999999999883E-9	3.60928543530257606E-9
5.07299999999999773E-9	2.04953577143154186E-9
5.08299999999999841E-9	4.70935284635786910E-10
5.09299999999999820E-9	-1.10041473652088762E-9
5.10299999999999976E-9	-2.63874958571464280E-9
5.11299999999999866E-9	-4.11917269748379056E-9
5.12299999999999844E-9	-5.51816324046323636E-9
5.13299999999999912E-9	-6.81404786828003761E-9
5.14299999999999713E-9	-7.98742598382082392E-9
5.15299999999999780E-9	-9.02153919701995122E-9
5.16299999999999759E-9	-9.90257699520345902E-9
5.17299999999999649E-9	-1.06199121048763612E-8
5.18299999999999805E-9	-1.11662607150705129E-8
5.19299999999999518E-9	-1.15377646004004308E-8
5.20299999999999585E-9	-1.17339941215534238E-8
5.21299999999999653E-9	-1.17578730843473456E-8
5.22299999999999720E-9	-1.16155284977211393E-8
5.23299999999999521E-9	-1.13160702386104983E-8
5.24299999999999677E-9	-1.08713072886987838E-8
5.25299999999999478E-9	-1.02954084764655929E-8
5.26299999999999546E-9	-9.60451668180946072E-9
5.27299999999999436E-9	-8.81632642919161036E-9
5.28299999999999592E-9	-7.94963572357034209E-9
5.29299999999999393E-9	-7.02388368836253107E-9
5.30299999999999372E-9	-6.05868584352767936E-9
5.31299999999999439E-9	-5.07337868365235423E-9
5.32299999999999329E-9	-4.08658470047884492E-9
5.33299999999999219E-9	-3.11580822959485726E-9
5.34299999999999287E-9	-2.17707148862150524E-9
5.35299999999999354E-9	-1.28459894716284806E-9
5.36299999999999244E-9	-4.50556839304690726E-10
5.37299999999999223E-9	3.15146730928434549E-10
5.38299999999999201E-9	1.00499710732220171E-9
5.39299999999999091E-9	1.61394154467031425E-9
5.40299999999999248E-9	2.13939048082661110E-9
5.41299999999998960E-9	2.58115325404058460E-9
5.42299999999999116E-9	2.94131166026159629E-9
5.43299999999999006E-9	3.22403620304712524E-9
5.44299999999999073E-9	3.43535114669407537E-9
5.45299999999999052E-9	3.58285565204497747E-9
5.46299999999999031E-9	3.67540933452732421E-9
5.47299999999998921E-9	3.72279144512900073E-9
5.48299999999998899E-9	3.73534350072710009E-9
5.49299999999998967E-9	3.72360558799624197E-9
5.50299999999998768E-9	3.69795668639806596E-9
5.51299999999998924E-9	3.66826909685479752E-9
5.52299999999998814E-9	3.64358639771563109E-9
5.53299999999998793E-9	3.63183341322105591E-9
5.54299999999998860E-9	3.63956566780388435E-9
5.55299999999998661E-9	3.67176478540374696E-9
5.56299999999998818E-9	3.73168517019728441E-9
